id_eess_saldo,id_entidad,latitud,longitud,nombreEstacion,direccion,id_departamento
1724,7692,-17.7843738,-63.2042883,ESTACION DE SERVICIO EL ARROYO S.R.L,SANTA CRUZ-AV.ROQUE AGUILERA NRO 57,7
1744,7676,-17.7624926,-63.1804778,ESTACION DE SERVICIO RIVERO,AV.CRISTO REDENTOR ESQ/CALLE GUSTAVO PARADA NRO S/N ZONA NORTE,7
1766,8020,-17.7999251,-63.1804644,ESTACION DE SERVICIO SUR S.R.L.,AV SANTOS DUMONT Y SEGUNDO ANILLO,7
1784,2849,-17.7694521,-63.178765,ESTACION DE SERVICIO SUR SRL SUCURSAL 1,AV. BENI ESQ. SOROTOCO ZONA DEL SEGUNDO ANILLO,7
1805,12252,-17.7690766,-63.1710844,REFINERIA ORIENTAL S.A.,AVENIDA ALEMANIA ESQ. TOTAI S/N UV. 16. MZ. 17. ZONA NOR ESTE.,7
1806,22248,-17.7598265,-63.1707782,SURTIDOR CLUBOL,AV: PEDRO RIVERA 3ER ANILLO INTERNO ENTRE ALEMANA Y BENI,7
1824,12396,-17.7859093,-63.204505,ESTACION DE SERVICIO PIRAI S.R.L.,AV. ROCA CORONADO S/N/3ER ANILLO INT. UV. 30. MZ. 65. ZONA BARRIO SANTA ROSITA.,7
1844,12253,-17.7824886,-63.16346,REFINERIA ORIENTAL S.A. SUCURSAL BARRIO LAZARETO,UV. 21. MZ. 1. AV. VIRGEN DE COTOCA ESQUINA PERIMETRAL.,7
1845,7730,-17.7593876,-63.1796311,GASCO S.R.L.,SANTA CRUZ - AV. BANZER 3ER ANILLO INTERNO Nro S/N MZNO: OE07 ZONA: NORTE,7
1846,7796,-17.80347,-63.16377,ESTACION DE SERVICIO ELISA SRL.,SANTA CRUZ-AV. JUAN PABLO II TERCER ANILLO INTERNO NRO S/N  ZONA:POLANCO,7
1887,7777,-17.7704092,-63.1572086,"""Z & Z"" LTDA.",SANTA CRUZ - AV. PARAGUA 3ER ANILLO Nro 1050 ZONA: NOR ESTE,7
1924,25092,-17.754287,-63.1968214,REFINERIA ORIENTAL S.A. SUCURSAL ZONA 4 ANILLO FRENTE A BUFALO PARK - S.C.,AVENIDA ALEMANIA ESQ. TOTAI S/N UV. 16. MZ. 17. ZONA NOR ESTE.,7
1926,7680,-17.8017147,-63.2150731,ESTACION DE SERVICIO 3F OIL S.R.L.,SANTA CRUZ 4 ANILLO S/N UV:111 MZNO: 004 ZONA : BARRIO LOS BOSQUES,7
1927,11545,-17.7504503,-63.1748014,SURTIDOR VARDONA,SANTA CRUZ - BARRIO HAMACAS AV. CRISTO REDENTOR Nro5325 UV: 37 MZNO: 21 EDIFICIO: SURTIDOR VARDONA ZONA: NORTE,7
1928,7832,-17.8162752,-63.1831452,"ESTACION DE SERVICIO ""SANTOS DUMONT NOGALES""",AV.SANTOS DUMONT 3ER. ANILLO EXTERNO,7
1944,39703,-17.8058243,-63.197873,SUCURSAL TERCER ANILLO INTERNO FRENTE CANCHITA ROYAL,AV. ROQUE AGUILERA ESQ. ANGEL SANDOVAL,7
1945,7757,-17.7942547,-63.2170198,ESTACION DE SERVICIO LOS MANGALES S.R.L.,4TO ANILLO ENTRE RADIAL 19 Y FINAL PIRAI,7
1964,7867,-17.8061616,-63.1549375,ESTACION DE SERVICIO SAN LUIS,AVENIDA 4TO ANILLO ESQ. RADIAL 10 S/N BARRIO POLANCO,7
1965,8004,-17.8115923,-63.1870473,ESTACION DE SERVICIOS SANTA MARIA,AV. TOMAS DE LESSON ESQ. TARTAGAL S/N,7
1984,7672,-17.7760359,-63.1538073,"ESTACION DE SERVICIO ""GUAPAY""",SANTA CRUZ - AV. GUAPAY ESQ. AV. JAPON TERCER ANILLO EXTERNO Nro S/N ZONA: ESTE,7
2190,12400,-17.837806,-63.2381759,ESTACION DE SERVICIO PIRAI S.R.L. - SUCURSAL AV. DOBLE VIA LA GUARDIA ESQ. OCTAVO ANILLO.,KM. 8 DOBLE VIA LA GUARDIA.,7
2192,8005,-17.8502938,-63.1823348,ESTACION DE SERVICIO PALMASOLA,KM.6 CARRETERA A PALMASOLA,7
2193,2850,-17.7256968,-63.1652632,ESTACION DE SERVICIO SUR SRL SUCURSAL 2,CARRETERA AL NORTE Y SEPTIMO ANILLO.,7
2204,7700,-17.8045879,-63.2253595,ESTACION DE SERVICIO QUINTO ANILLO S.R.L.,SANTA CRUZ - RADIAL 17 1/2 QUINTO ANILLO S/N NRO S/N MZNO: 54 ZONA: SUR,7
